m/z,Formula,ID,IsotopeLabel,Ion form,Compound
160.0266096,C5H4N2O4,47,C13-label-5,[M-H]-,Orotate
165.0404694,C5H10O6,48,C12 PARENT,[M-H]-,Ribonic acid
166.0438242,C5H10O6,48,C13-label-1,[M-H]-,Ribonic acid
167.0471791,C5H10O6,48,C13-label-2,[M-H]-,Ribonic acid
168.0505339,C5H10O6,48,C13-label-3,[M-H]-,Ribonic acid
169.0538887,C5H10O6,48,C13-label-4,[M-H]-,Ribonic acid
170.0572436,C5H10O6,48,C13-label-5,[M-H]-,Ribonic acid
167.0210674,C5H4N4O3,49,C12 PARENT,[M-H]-,Uric acid
168.0244222,C5H4N4O3,49,C13-label-1,[M-H]-,Uric acid
169.0277771,C5H4N4O3,49,C13-label-2,[M-H]-,Uric acid
170.0311319,C5H4N4O3,49,C13-label-3,[M-H]-,Uric acid
171.0344867,C5H4N4O3,49,C13-label-4,[M-H]-,Uric acid
172.0378416,C5H4N4O3,49,C13-label-5,[M-H]-,Uric acid
213.0169719,C5H11O7P,50,C12 PARENT,[M-H]-,Deoxyribose 5-phosphate_isomer
214.0203267,C5H11O7P,50,C13-label-1,[M-H]-,Deoxyribose 5-phosphate_isomer
215.0236816,C5H11O7P,50,C13-label-2,[M-H]-,Deoxyribose 5-phosphate_isomer
216.0270364,C5H11O7P,50,C13-label-3,[M-H]-,Deoxyribose 5-phosphate_isomer
217.0303912,C5H11O7P,50,C13-label-4,[M-H]-,Deoxyribose 5-phosphate_isomer
218.0337461,C5H11O7P,50,C13-label-5,[M-H]-,Deoxyribose 5-phosphate_isomer
226.0122209,C5H10NO7P,51,C12 PARENT,[M-H]-,Glutamic acid 5-phosphate
227.0155757,C5H10NO7P,51,C13-label-1,[M-H]-,Glutamic acid 5-phosphate
228.0189306,C5H10NO7P,51,C13-label-2,[M-H]-,Glutamic acid 5-phosphate
229.0222854,C5H10NO7P,51,C13-label-3,[M-H]-,Glutamic acid 5-phosphate
230.0256402,C5H10NO7P,51,C13-label-4,[M-H]-,Glutamic acid 5-phosphate
231.0289951,C5H10NO7P,51,C13-label-5,[M-H]-,Glutamic acid 5-phosphate
228.0278709,C5H12NO7P,52,C12 PARENT,[M-H]-,Phosphoribosylamine_isomer
229.0312257,C5H12NO7P,52,C13-label-1,[M-H]-,Phosphoribosylamine_isomer
230.0345806,C5H12NO7P,52,C13-label-2,[M-H]-,Phosphoribosylamine_isomer
231.0379354,C5H12NO7P,52,C13-label-3,[M-H]-,Phosphoribosylamine_isomer
232.0412902,C5H12NO7P,52,C13-label-4,[M-H]-,Phosphoribosylamine_isomer
233.0446451,C5H12NO7P,52,C13-label-5,[M-H]-,Phosphoribosylamine_isomer
231.0275379,C5H13O8P,53,C12 PARENT,[M-H]-,Ribitol 5-phosphate_isomer
232.0308927,C5H13O8P,53,C13-label-1,[M-H]-,Ribitol 5-phosphate_isomer
233.0342476,C5H13O8P,53,C13-label-2,[M-H]-,Ribitol 5-phosphate_isomer
234.0376024,C5H13O8P,53,C13-label-3,[M-H]-,Ribitol 5-phosphate_isomer
235.0409572,C5H13O8P,53,C13-label-4,[M-H]-,Ribitol 5-phosphate_isomer
236.0443121,C5H13O8P,53,C13-label-5,[M-H]-,Ribitol 5-phosphate_isomer
244.9985584,C5H12O7P2,54,C12 PARENT,[M-H]-,Dimethylallylpyrophosphate
246.0019132,C5H12O7P2,54,C13-label-1,[M-H]-,Dimethylallylpyrophosphate
247.0052681,C5H12O7P2,54,C13-label-2,[M-H]-,Dimethylallylpyrophosphate
248.0086229,C5H12O7P2,54,C13-label-3,[M-H]-,Dimethylallylpyrophosphate
249.0119777,C5H12O7P2,54,C13-label-4,[M-H]-,Dimethylallylpyrophosphate
250.0153326,C5H12O7P2,54,C13-label-5,[M-H]-,Dimethylallylpyrophosphate
145.0982534,C6H14N2O2,55,C12 PARENT,[M-H]-,Lysine
146.1016082,C6H14N2O2,55,C13-label-1,[M-H]-,Lysine
147.1049631,C6H14N2O2,55,C13-label-2,[M-H]-,Lysine
148.1083179,C6H14N2O2,55,C13-label-3,[M-H]-,Lysine
149.1116727,C6H14N2O2,55,C13-label-4,[M-H]-,Lysine
150.1150276,C6H14N2O2,55,C13-label-5,[M-H]-,Lysine
151.1183824,C6H14N2O2,55,C13-label-6,[M-H]-,Lysine
131.0713714,C6H12O3,56,C12 PARENT,[M-H]-,Hydroxy-methylpentanoic acid
132.0747262,C6H12O3,56,C13-label-1,[M-H]-,Hydroxy-methylpentanoic acid
133.0780811,C6H12O3,56,C13-label-2,[M-H]-,Hydroxy-methylpentanoic acid
134.0814359,C6H12O3,56,C13-label-3,[M-H]-,Hydroxy-methylpentanoic acid
135.0847907,C6H12O3,56,C13-label-4,[M-H]-,Hydroxy-methylpentanoic acid
136.0881456,C6H12O3,56,C13-label-5,[M-H]-,Hydroxy-methylpentanoic acid
137.0915004,C6H12O3,56,C13-label-6,[M-H]-,Hydroxy-methylpentanoic acid
145.0506374,C6H10O4,57,C12 PARENT,[M-H]-,Dimethyl succinate
146.0539922,C6H10O4,57,C13-label-1,[M-H]-,Dimethyl succinate
147.0573471,C6H10O4,57,C13-label-2,[M-H]-,Dimethyl succinate
148.0607019,C6H10O4,57,C13-label-3,[M-H]-,Dimethyl succinate
149.0640567,C6H10O4,57,C13-label-4,[M-H]-,Dimethyl succinate
150.0674116,C6H10O4,57,C13-label-5,[M-H]-,Dimethyl succinate
151.0707664,C6H10O4,57,C13-label-6,[M-H]-,Dimethyl succinate
147.0662874,C6H12O4,58,C12 PARENT,[M-H]-,Mevalonic acid
148.0696422,C6H12O4,58,C13-label-1,[M-H]-,Mevalonic acid
149.0729971,C6H12O4,58,C13-label-2,[M-H]-,Mevalonic acid
150.0763519,C6H12O4,58,C13-label-3,[M-H]-,Mevalonic acid
151.0797067,C6H12O4,58,C13-label-4,[M-H]-,Mevalonic acid
152.0830616,C6H12O4,58,C13-label-5,[M-H]-,Mevalonic acid
153.0864164,C6H12O4,58,C13-label-6,[M-H]-,Mevalonic acid
154.0622024,C6H9N3O2,59,C12 PARENT,[M-H]-,Histidine_isomer
155.0655572,C6H9N3O2,59,C13-label-1,[M-H]-,Histidine_isomer
156.0689121,C6H9N3O2,59,C13-label-2,[M-H]-,Histidine_isomer
157.0722669,C6H9N3O2,59,C13-label-3,[M-H]-,Histidine_isomer
158.0756217,C6H9N3O2,59,C13-label-4,[M-H]-,Histidine_isomer
159.0789766,C6H9N3O2,59,C13-label-5,[M-H]-,Histidine_isomer
160.0823314,C6H9N3O2,59,C13-label-6,[M-H]-,Histidine_isomer
188.0023071,C6H7NO4S,60,C12 PARENT,[M-H]-,Lanthionine ketimine_isomer
189.0056619,C6H7NO4S,60,C13-label-1,[M-H]-,Lanthionine ketimine_isomer
190.0090168,C6H7NO4S,60,C13-label-2,[M-H]-,Lanthionine ketimine_isomer
191.0123716,C6H7NO4S,60,C13-label-3,[M-H]-,Lanthionine ketimine_isomer
192.0157264,C6H7NO4S,60,C13-label-4,[M-H]-,Lanthionine ketimine_isomer
193.0190813,C6H7NO4S,60,C13-label-5,[M-H]-,Lanthionine ketimine_isomer
194.0224361,C6H7NO4S,60,C13-label-6,[M-H]-,Lanthionine ketimine_isomer
173.0091694,C6H6O6,61,C12 PARENT,[M-H]-,Aconitate_isomer
174.0125242,C6H6O6,61,C13-label-1,[M-H]-,Aconitate_isomer
175.0158791,C6H6O6,61,C13-label-2,[M-H]-,Aconitate_isomer
176.0192339,C6H6O6,61,C13-label-3,[M-H]-,Aconitate_isomer
177.0225887,C6H6O6,61,C13-label-4,[M-H]-,Aconitate_isomer
178.0259436,C6H6O6,61,C13-label-5,[M-H]-,Aconitate_isomer
179.0292984,C6H6O6,61,C13-label-6,[M-H]-,Aconitate_isomer
